Distance,CQI
689.79,6.0
689.79,6.0
689.79,4.0
685.57,2.0
685.57,2.0
8607.719999999998,5.0
8607.719999999998,8.0
8607.719999999998,6.0
8607.719999999998,6.0
8607.719999999998,6.0
8607.719999999998,5.0
8610.83,5.0
478.62,5.0
478.62,5.0
8610.83,2.0
8610.83,2.0
8610.83,2.0
8610.83,2.0
8616.53,9.0
8616.53,9.0
8616.53,9.0
676.88,2.0
676.88,2.0
8616.53,2.0
8616.53,2.0
8616.53,9.0
8616.53,9.0
8624.37,10.0
8624.37,10.0
8624.37,8.0
8624.37,8.0
8624.37,7.0
8624.37,7.0
8624.37,7.0
8624.37,7.0
8624.37,6.0
8630.35,6.0
8630.35,6.0
8630.35,12.0
8630.35,12.0
8630.35,12.0
8630.35,8.0
8630.35,6.0
8630.35,13.0
8630.35,10.0
8637.67,10.0
8637.67,10.0
8637.67,9.0
8637.67,9.0
8637.67,6.0
8637.67,10.0
8637.67,4.0
8637.67,4.0
8645.8,4.0
8645.8,7.0
8645.8,7.0
8645.8,5.0
8645.8,4.0
8645.8,4.0
8645.8,4.0
8645.8,8.0
8656.61,8.0
8656.61,7.0
8656.61,5.0
8656.61,6.0
8656.61,5.0
8656.61,5.0
8656.61,5.0
8656.61,6.0
8656.61,9.0
8662.469999999998,9.0
8662.469999999998,7.0
8662.469999999998,7.0
8662.469999999998,5.0
8662.469999999998,5.0
8662.469999999998,8.0
8662.469999999998,8.0
8662.469999999998,8.0
8662.469999999998,9.0
8662.469999999998,4.0
8662.469999999998,4.0
8669.11,7.0
8669.11,7.0
8669.11,7.0
8669.11,7.0
8669.11,9.0
8669.11,9.0
8669.11,8.0
8669.11,8.0
8669.11,6.0
8669.11,6.0
8669.11,4.0
8669.11,8.0
8676.2,7.0
8676.2,7.0
8676.2,7.0
8676.2,9.0
8676.2,10.0
8676.2,10.0
8676.2,10.0
8676.2,10.0
8686.059999999998,10.0
8686.059999999998,10.0
8686.059999999998,7.0
8686.059999999998,7.0
8686.059999999998,7.0
8686.059999999998,7.0
8686.059999999998,7.0
8686.059999999998,7.0
8686.059999999998,7.0
8694.389999999998,7.0
8694.389999999998,7.0
8694.389999999998,7.0
8694.389999999998,7.0
8694.389999999998,5.0
8694.389999999998,4.0
459.07,4.0
459.07,4.0
459.07,4.0
459.07,5.0
